num_ligne;Année;Code académie;Nom académie;Discipline;IPS moyen;Caractéristique;Score moyen;Ecart type;groupe 1;groupe 2;groupe 3;groupe 4;groupe 5;groupe 6
708;2022;28;LA REUNION;Mathématiques;97.1;Garçon;242.6;48.8;18.2;21.8;20.2;18.1;9.1;12.6
712;2022;31;MARTINIQUE;Mathématiques;109.4;Ensemble;228.9;47.7;28.1;22.9;19.6;13.9;7.5;8.0
720;2022;32;GUADELOUPE;Mathématiques;103.5;Garçon;227.9;46.3;29.1;21.4;21.1;13.1;7.5;7.7
726;2022;33;GUYANE;Mathématiques;92.2;Garçon;207.8;46.7;48.6;20.2;15.4;6.9;5.0;3.9
732;2022;43;MAYOTTE;Mathématiques;78.6;Garçon;186.6;36.5;70.1;16.5;7.1;3.9;1.6;0.9
734;2022;70;NORMANDIE;Français;112.9;Fille;271.5;41.7;2.6;9.4;19.8;24.3;20.2;23.8
738;2022;70;NORMANDIE;Mathématiques;112.9;Garçon;264.6;49.5;7.5;12.7;20.8;21.1;16.1;21.8
742;2022;;NATIONAL;Mathématiques;114.8;Ensemble;256.7;51.7;11.8;15.7;20.4;19.2;14.0;18.9
746;2023;01;PARIS;Français;134.9;Fille;296.5;51.3;1.7;5.4;12.0;16.4;19.1;45.4
747;2023;01;PARIS;Français;134.9;Garçon;284.6;49.9;3.4;7.1;14.3;19.6;19.6;36.1
748;2023;01;PARIS;Mathématiques;134.9;Ensemble;284.1;58.7;5.8;9.6;14.1;17.7;16.4;36.4
751;2023;02;AIX-MARSEILLE;Français;115.1;Ensemble;265.7;44.0;5.0;12.1;21.1;23.1;18.3;20.5
758;2023;03;BESANCON;Français;111.6;Fille;274.0;40.1;1.6;7.4;20.0;26.1;21.4;23.6
763;2023;04;BORDEAUX;Français;119.2;Ensemble;273.7;43.5;3.0;8.8;18.6;23.7;20.7;25.3
770;2023;06;CLERMONT-FERRAND;Français;116.0;Fille;278.8;42.4;2.0;6.8;17.4;22.3;22.5;29.0
772;2023;06;CLERMONT-FERRAND;Mathématiques;116.0;Ensemble;270.3;49.6;5.6;11.6;18.9;21.5;17.9;24.6
774;2023;06;CLERMONT-FERRAND;Mathématiques;116.0;Garçon;279.2;50.8;3.8;8.8;16.3;21.0;19.9;30.2
781;2023;08;GRENOBLE;Français;119.4;Ensemble;272.6;42.9;3.0;9.2;19.2;23.9;19.9;24.8
784;2023;08;GRENOBLE;Mathématiques;119.4;Ensemble;269.1;50.9;6.8;12.5;18.8;20.1;16.7;25.1
786;2023;08;GRENOBLE;Mathématiques;119.4;Garçon;279.0;51.8;4.4;9.3;16.9;20.0;18.3;31.3
796;2023;10;LYON;Mathématiques;119.1;Ensemble;266.7;52.2;8.7;13.0;18.1;19.3;16.4;24.6
806;2023;12;NANCY-METZ;Français;111.3;Fille;272.2;41.6;2.4;8.9;19.7;25.0;21.1;22.8
810;2023;12;NANCY-METZ;Mathématiques;111.3;Garçon;271.3;50.0;5.5;11.6;18.9;20.6;17.4;26.0
813;2023;13;POITIERS;Français;116.4;Garçon;264.0;39.9;4.2;11.6;21.9;25.6;19.1;17.6
816;2023;13;POITIERS;Mathématiques;116.4;Garçon;269.7;48.5;5.5;12.0;18.8;21.6;17.0;25.0
817;2023;14;RENNES;Français;121.2;Ensemble;274.5;40.8;1.9;7.4;19.3;25.2;21.5;24.7
821;2023;14;RENNES;Mathématiques;121.2;Fille;262.5;45.0;5.9;14.7;21.4;22.5;16.4;19.1
824;2023;15;STRASBOURG;Français;113.3;Fille;273.0;43.6;3.0;9.0;19.9;23.9;19.4;24.8
827;2023;15;STRASBOURG;Mathématiques;113.3;Fille;256.8;48.9;10.7;16.5;20.6;20.2;14.3;17.7
831;2023;16;TOULOUSE;Français;121.0;Garçon;269.0;43.2;4.0;10.2;20.0;24.3;19.6;21.9
834;2023;16;TOULOUSE;Mathématiques;121.0;Garçon;279.4;51.8;4.6;9.0;16.0;19.8;18.5;32.1
836;2023;17;NANTES;Français;120.8;Fille;277.0;41.1;1.7;6.4;18.4;25.1;21.9;26.5
839;2023;17;NANTES;Mathématiques;120.8;Fille;264.3;46.3;6.1;13.5;21.1;21.7;16.9;20.6
840;2023;17;NANTES;Mathématiques;120.8;Garçon;280.6;49.5;3.6;7.9;16.2;20.6;19.5;32.2
841;2023;18;ORLEANS-TOURS;Français;114.7;Ensemble;269.3;41.8;3.1;10.0;21.0;24.6;19.9;21.4
843;2023;18;ORLEANS-TOURS;Français;114.7;Garçon;265.1;40.8;3.9;11.5;22.5;24.4;19.2;18.4
849;2023;19;REIMS;Français;109.6;Garçon;260.4;41.5;5.1;14.0;24.4;22.8;17.3;16.3
850;2023;19;REIMS;Mathématiques;109.6;Ensemble;253.5;48.2;12.0;17.5;21.1;19.5;13.6;16.3
851;2023;19;REIMS;Mathématiques;109.6;Fille;246.1;45.6;14.6;19.8;22.4;18.9;12.1;12.2
860;2023;22;LIMOGES;Français;114.9;Fille;273.7;41.9;2.1;8.6;19.5;24.5;21.3;24.1
861;2023;22;LIMOGES;Français;114.9;Garçon;267.3;40.7;2.8;12.0;19.9;26.2;19.7;19.4
862;2023;22;LIMOGES;Mathématiques;114.9;Ensemble;261.0;47.1;7.2;15.5;22.0;21.6;14.7;19.0
869;2023;23;NICE;Mathématiques;114.6;Fille;253.0;47.6;11.3;18.7;22.1;19.3;13.0;15.7
882;2023;25;VERSAILLES;Mathématiques;123.9;Garçon;269.3;57.9;10.0;13.3;16.9;17.1;14.9;27.8
883;2023;27;CORSE;Français;110.2;Ensemble;261.3;42.5;5.4;14.8;22.3;22.6;17.1;17.8
884;2023;27;CORSE;Français;110.2;Fille;264.7;41.7;3.7;13.7;22.7;22.6;17.4;19.9
887;2023;27;CORSE;Mathématiques;110.2;Fille;237.6;46.5;20.5;22.8;22.1;14.9;9.3;10.5
888;2023;27;CORSE;Mathématiques;110.2;Garçon;255.1;50.3;12.9;17.0;19.5;17.5;16.7;16.3
896;2023;31;MARTINIQUE;Français;111.4;Fille;254.3;40.5;7.9;15.6;24.8;23.9;14.8;13.1
